variable,missing_pct_proxy_0,missing_pct_proxy_1,gap_pct_points
Sub-issue,5.972,31.548,25.576
Consumer complaint narrative,74.059,52.827,21.231
Consumer consent provided?,12.478,32.292,19.813
Consumer disputed?,94.925,75.595,19.33
Tags,95.145,82.292,12.853
Sub-product,1.453,8.482,7.029
Company public response,43.574,50.446,6.873
State,0.389,1.637,1.248
ZIP code,0.192,1.042,0.849
Product,0.0,0.0,0.0
Date received,0.0,0.0,0.0
Company,0.0,0.0,0.0
Issue,0.0,0.0,0.0
Date sent to company,0.0,0.0,0.0
Submitted via,0.0,0.0,0.0
