year_month,complaint_count,positive_rate,positive_rate_pct,year_month_label
2011-12-01,10,0.0,0.0,2011-12
2012-01-01,9,0.0,0.0,2012-01
2012-02-01,11,0.0,0.0,2012-02
2012-03-01,16,0.0,0.0,2012-03
2012-04-01,12,0.08333333333333333,8.333,2012-04
2012-05-01,26,0.0,0.0,2012-05
2012-06-01,23,0.043478260869565216,4.348,2012-06
2012-07-01,17,0.058823529411764705,5.882,2012-07
2012-08-01,28,0.07142857142857142,7.143,2012-08
2012-09-01,21,0.14285714285714285,14.286,2012-09
2012-10-01,22,0.045454545454545456,4.545,2012-10
2012-11-01,24,0.125,12.5,2012-11
2012-12-01,18,0.1111111111111111,11.111,2012-12
2013-01-01,30,0.06666666666666667,6.667,2013-01
2013-02-01,31,0.1935483870967742,19.355,2013-02
2013-03-01,42,0.19047619047619047,19.048,2013-03
2013-04-01,34,0.08823529411764706,8.824,2013-04
2013-05-01,31,0.03225806451612903,3.226,2013-05
2013-06-01,33,0.09090909090909091,9.091,2013-06
2013-07-01,34,0.14705882352941177,14.706,2013-07
2013-08-01,33,0.030303030303030304,3.03,2013-08
2013-09-01,27,0.07407407407407407,7.407,2013-09
2013-10-01,32,0.09375,9.375,2013-10
2013-11-01,22,0.09090909090909091,9.091,2013-11
2013-12-01,37,0.08108108108108109,8.108,2013-12
2014-01-01,40,0.05,5.0,2014-01
2014-02-01,40,0.075,7.5,2014-02
2014-03-01,44,0.06818181818181818,6.818,2014-03
2014-04-01,35,0.05714285714285714,5.714,2014-04
2014-05-01,33,0.0,0.0,2014-05
2014-06-01,54,0.05555555555555555,5.556,2014-06
2014-07-01,58,0.05172413793103448,5.172,2014-07
2014-08-01,49,0.0,0.0,2014-08
2014-09-01,35,0.08571428571428572,8.571,2014-09
2014-10-01,45,0.022222222222222223,2.222,2014-10
2014-11-01,42,0.09523809523809523,9.524,2014-11
2014-12-01,34,0.029411764705882353,2.941,2014-12
2015-01-01,41,0.07317073170731707,7.317,2015-01
2015-02-01,50,0.0,0.0,2015-02
2015-03-01,38,0.07894736842105263,7.895,2015-03
2015-04-01,47,0.10638297872340426,10.638,2015-04
2015-05-01,49,0.14285714285714285,14.286,2015-05
2015-06-01,44,0.022727272727272728,2.273,2015-06
2015-07-01,52,0.019230769230769232,1.923,2015-07
2015-08-01,68,0.07352941176470588,7.353,2015-08
2015-09-01,56,0.05357142857142857,5.357,2015-09
2015-10-01,35,0.08571428571428572,8.571,2015-10
2015-11-01,49,0.08163265306122448,8.163,2015-11
2015-12-01,38,0.07894736842105263,7.895,2015-12
2016-01-01,59,0.03389830508474576,3.39,2016-01
2016-02-01,40,0.05,5.0,2016-02
2016-03-01,56,0.08928571428571429,8.929,2016-03
2016-04-01,42,0.09523809523809523,9.524,2016-04
2016-05-01,54,0.07407407407407407,7.407,2016-05
