Model,Threshold,ROC-AUC,PR-AUC,Accuracy,Balanced Accuracy,Precision,Recall,F1,Kappa,TN,FP,FN,TP
Logistic Regression,0.1,0.7650923201263179,0.1271271720391287,0.9731958762886598,0.607465495021235,0.16489361702127658,0.23134328358208955,0.19254658385093168,0.17930788515256668,9409,157,103,31
Logistic Regression,0.2,0.7650923201263179,0.1271271720391287,0.9851546391752577,0.5436262134861964,0.35294117647058826,0.08955223880597014,0.14285714285714285,0.13803743069988805,9544,22,122,12
Logistic Regression,0.3,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5110372244984569,0.5,0.022388059701492536,0.04285714285714286,0.0417224519165551,9563,3,131,3
Logistic Regression,0.4,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Logistic Regression,0.5,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Logistic Regression,0.6,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Logistic Regression,0.7,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Logistic Regression,0.8,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Logistic Regression,0.9,0.7650923201263179,0.1271271720391287,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.1,0.7734108050589619,0.08645066897676085,0.978659793814433,0.5624077500850337,0.1651376146788991,0.13432835820895522,0.14814814814814814,0.1374585031582276,9475,91,116,18
Naive Bayes,0.2,0.7734108050589619,0.08645066897676085,0.9854639175257732,0.4996341208446582,0.0,0.0,0.0,-0.0013735298252193218,9559,7,134,0
Naive Bayes,0.3,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.4,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.5,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.6,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.7,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.8,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
Naive Bayes,0.9,0.7734108050589619,0.08645066897676085,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
KNN (k=5),0.1,0.6397287813493686,0.06981581037892627,0.9623711340206186,0.6387680560192972,0.13099041533546327,0.30597014925373134,0.18344519015659955,0.1673361530154167,9294,272,93,41
KNN (k=5),0.2,0.6397287813493686,0.06981581037892627,0.9623711340206186,0.6387680560192972,0.13099041533546327,0.30597014925373134,0.18344519015659955,0.1673361530154167,9294,272,93,41
KNN (k=5),0.3,0.6397287813493686,0.06981581037892627,0.9806185567010309,0.567079925482352,0.20652173913043478,0.1417910447761194,0.168141592920354,0.15867913177310367,9493,73,115,19
KNN (k=5),0.4,0.6397287813493686,0.06981581037892627,0.9806185567010309,0.567079925482352,0.20652173913043478,0.1417910447761194,0.168141592920354,0.15867913177310367,9493,73,115,19
KNN (k=5),0.5,0.6397287813493686,0.06981581037892627,0.9856701030927835,0.5254921815759171,0.3684210526315789,0.05223880597014925,0.0915032679738562,0.08837545165408156,9554,12,127,7
KNN (k=5),0.6,0.6397287813493686,0.06981581037892627,0.9856701030927835,0.5254921815759171,0.3684210526315789,0.05223880597014925,0.0915032679738562,0.08837545165408156,9554,12,127,7
KNN (k=5),0.7,0.6397287813493686,0.06981581037892627,0.9861855670103092,0.5036790748328189,0.5,0.007462686567164179,0.014705882352941176,0.014305387877427522,9565,1,133,1
KNN (k=5),0.8,0.6397287813493686,0.06981581037892627,0.9861855670103092,0.5036790748328189,0.5,0.007462686567164179,0.014705882352941176,0.014305387877427522,9565,1,133,1
KNN (k=5),0.9,0.6397287813493686,0.06981581037892627,0.9861855670103092,0.5,0.0,0.0,0.0,0.0,9566,0,134,0
